Country,Disease,Indicator,Year,Gender,Value
Afghanistan,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,38.51 [33.12-43.65]
Afghanistan,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,42.23 [36.15-48.34]
Afghanistan,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,34.56 [29.91-39.24]
Afghanistan,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,106.9 [91.91-121.1]
Afghanistan,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,120.2 [102.9-137.6]
Afghanistan,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,93.64 [81.02-106.3]
Albania,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,51.13 [33.86-70.75]
Albania,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,59.3 [40.43-81.56]
Albania,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,42.79 [27.16-60.96]
Albania,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,33.23 [22.01-45.99]
Albania,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,41.81 [28.5-57.5]
Albania,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,25.22 [16.01-35.93]
Algeria,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,21.99 [16.31-36.56]
Algeria,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,23.54 [17.7-38.21]
Algeria,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,20.41 [14.69-34.88]
Algeria,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,27.82 [20.64-46.25]
Algeria,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,30.69 [23.07-49.8]
Algeria,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,24.94 [17.94-42.62]
Angola,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,10.54 [8.95-12.21]
Angola,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,10.47 [8.92-12.12]
Angola,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,10.62 [8.86-12.38]
Angola,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,32.68 [27.75-37.85]
Angola,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,33.11 [28.21-38.35]
Angola,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,31.83 [26.55-37.11]
Antigua and Barbuda,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,13.28 [9.93-16.52]
Antigua and Barbuda,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,15.38 [11.95-18.65]
Antigua and Barbuda,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,11.34 [8.16-14.35]
Antigua and Barbuda,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,14.15 [10.58-17.6]
Antigua and Barbuda,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,18.32 [14.24-22.21]
Antigua and Barbuda,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,10.87 [7.83-13.76]
Argentina,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,13.22 [9.26-17.49]
Argentina,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,14.63 [10.93-18.32]
Argentina,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,11.87 [7.66-16.72]
Argentina,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,9.78 [6.85-12.94]
Argentina,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,13.61 [10.18-17.05]
Argentina,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,6.7 [4.32-9.44]
Armenia,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,49.88 [36.47-64.93]
Armenia,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,55.67 [43.29-69.24]
Armenia,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,44.73 [30.63-62.82]
Armenia,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,33.64 [24.6-43.8]
Armenia,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,46.05 [35.81-57.27]
Armenia,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,24.3 [16.64-34.13]
Australia,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,8.1 [4.82-12.02]
Australia,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,9.19 [5.97-12.73]
Australia,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,7.02 [3.53-11.45]
Australia,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,4.12 [2.45-6.11]
Australia,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,5.47 [3.55-7.57]
Australia,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,2.84 [1.43-4.63]
Austria,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,23.61 [14.86-33.19]
Austria,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,23.69 [16.43-31.24]
Austria,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,23.53 [13.12-35.66]
Austria,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,9.09 [5.72-12.78]
Austria,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,11.68 [8.1-15.41]
Austria,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,6.77 [3.77-10.26]
Azerbaijan,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,37.73 [28.61-49.29]
Azerbaijan,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,42.27 [33.1-54.72]
Azerbaijan,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,33.22 [23.92-45.04]
Azerbaijan,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,44.09 [33.44-57.6]
Azerbaijan,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,56.51 [44.25-73.16]
Azerbaijan,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,34.11 [24.56-46.25]
Bahamas,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,10.93 [8.44-13.29]
Bahamas,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,12.91 [10.34-15.28]
Bahamas,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,9.04 [6.54-11.51]
Bahamas,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,9.96 [7.68-12.11]
Bahamas,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,13.27 [10.64-15.72]
Bahamas,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,7.2 [5.21-9.17]
Bahrain,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,9.16 [7.84-10.54]
Bahrain,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,9.72 [8.43-11.07]
Bahrain,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,8.25 [6.8-9.72]
Bahrain,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,22.56 [19.3-25.95]
Bahrain,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,24.62 [21.36-28.05]
Bahrain,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,19.73 [16.28-23.26]
Bangladesh,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,31.24 [27.54-35.18]
Bangladesh,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,35.47 [31.22-40.1]
Bangladesh,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,26.94 [23.53-30.3]
Bangladesh,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,45.71 [40.29-51.47]
