Country,Indicator,Year,Gender,Value
Afghanistan,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,1.61 [1.21-1.96]
Afghanistan,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,2.24 [1.63-2.76]
Afghanistan,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,0.95 [0.74-1.12]
Afghanistan,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,4.05 [3.03-4.92]
Afghanistan,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,6.04 [4.39-7.46]
Afghanistan,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,2.19 [1.71-2.58]
Albania,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,10.71 [5.27-17.31]
Albania,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,13.16 [6.34-21.51]
Albania,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,8.2 [3.98-13.11]
Albania,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,7.06 [3.47-11.41]
Albania,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,8.99 [4.33-14.7]
Albania,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,5.18 [2.51-8.27]
Algeria,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,1.65 [0.9-3.52]
Algeria,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,2.61 [1.43-5.45]
Algeria,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,0.68 [0.36-1.55]
Algeria,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,2.07 [1.13-4.41]
Algeria,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,3.32 [1.83-6.95]
Algeria,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,0.83 [0.44-1.89]
Angola,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,0.3 [0.22-0.38]
Angola,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,0.36 [0.25-0.46]
Angola,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,0.25 [0.19-0.31]
