Country,Indicator,Year,Gender,Value
Afghanistan,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,95.12 [85.12-104.3]
Afghanistan,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,95.58 [85.5-106]
Afghanistan,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,94.63 [84.55-103.9]
Afghanistan,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,211.1 [188.9-231.3]
Afghanistan,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,228.7 [204.6-253.6]
Afghanistan,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,194.7 [173.9-213.7]
Albania,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,104.7 [70.26-147.3]
Albania,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,117.6 [80.81-164.3]
Albania,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,91.59 [60.07-131.1]
Albania,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,67.99 [45.61-95.6]
Albania,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,82.39 [56.6-115.1]
Albania,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,54.66 [35.85-78.28]
Algeria,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,40.33 [31.34-70]
Algeria,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,43.05 [33.97-73.59]
Algeria,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,37.56 [28.65-66.8]
Algeria,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,49.68 [38.61-86.22]
Algeria,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,55.17 [43.53-94.32]
Algeria,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,44.31 [33.8-78.8]
Angola,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,67.25 [57.83-76.43]
Angola,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,64.99 [55.3-74.2]
Angola,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,69.43 [60-78.72]
