Country,Disease,Indicator,Year,Gender,Value
Afghanistan,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,31.26 [25.66-35.67]
Afghanistan,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,29.37 [24.07-33.6]
Afghanistan,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,33.27 [27.28-37.85]
Afghanistan,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,31.68 [26.01-36.15]
Afghanistan,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,33.19 [27.21-37.97]
Afghanistan,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,30.65 [25.13-34.86]
Albania,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,5.03 [2.99-7.46]
Albania,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,5.54 [3.28-8.24]
Albania,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,4.51 [2.67-6.75]
Albania,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,3.79 [2.25-5.62]
Albania,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,4.36 [2.58-6.49]
Albania,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,3.29 [1.95-4.93]
Algeria,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,6.99 [4.66-12.97]
Algeria,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,6.71 [4.49-12.37]
Algeria,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,7.28 [4.82-13.76]
Algeria,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,7.58 [5.05-14.07]
Algeria,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,7.71 [5.16-14.23]
Algeria,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,7.5 [4.96-14.17]
Angola,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,44.5 [36.1-52.17]
Angola,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,44.08 [35.59-51.83]
Angola,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,44.9 [36.54-52.5]
Angola,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,48.76 [39.56-57.17]
Angola,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,52.62 [42.49-61.88]
Angola,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,45.99 [37.43-53.77]
Antigua and Barbuda,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,5.77 [3.06-8.76]
Antigua and Barbuda,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,6.6 [3.49-10.06]
Antigua and Barbuda,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,5.01 [2.67-7.56]
Antigua and Barbuda,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,6.08 [3.23-9.22]
Antigua and Barbuda,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,7.9 [4.18-12.04]
Antigua and Barbuda,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,4.43 [2.36-6.69]
Argentina,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,10.14 [4.28-17.73]
Argentina,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,9.54 [4.01-16.73]
Argentina,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,10.71 [4.6-18.7]
Argentina,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,6.85 [2.89-11.99]
Argentina,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,8.67 [3.64-15.2]
Argentina,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,5.66 [2.43-9.88]
Armenia,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,2.97 [2.02-4.08]
Armenia,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,3.33 [2.27-4.54]
Armenia,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,2.64 [1.79-3.68]
Armenia,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,2.36 [1.6-3.25]
Armenia,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,2.96 [2.02-4.04]
Armenia,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,1.9 [1.29-2.65]
Australia,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,1.15 [0.3-2.54]
Australia,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,1 [0.26-2.21]
Australia,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,1.3 [0.34-2.86]
Australia,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,0.53 [0.14-1.16]
Australia,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,0.54 [0.14-1.19]
Australia,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,0.51 [0.13-1.11]
Austria,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,1.55 [0.56-2.88]
Austria,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,1.45 [0.52-2.69]
Austria,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,1.65 [0.6-3.07]
Austria,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,0.57 [0.21-1.06]
Austria,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,0.67 [0.24-1.25]
Austria,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,0.49 [0.18-0.91]
Azerbaijan,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,2.94 [1.54-4.72]
Azerbaijan,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,3.06 [1.59-4.88]
Azerbaijan,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,2.82 [1.47-4.55]
Azerbaijan,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,3.12 [1.63-5.01]
Azerbaijan,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,3.41 [1.77-5.43]
Azerbaijan,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,2.94 [1.53-4.73]
Bahamas,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,3.64 [1.74-5.91]
Bahamas,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,3.67 [1.75-5.96]
Bahamas,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,3.61 [1.72-5.86]
Bahamas,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,3.51 [1.68-5.71]
Bahamas,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,4.15 [1.98-6.74]
Bahamas,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,3 [1.43-4.87]
Bahrain,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,1.76 [1.4-2.13]
Bahrain,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,1.66 [1.32-2.01]
Bahrain,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,1.92 [1.53-2.33]
Bahrain,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,4.7 [3.74-5.68]
Bahrain,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,5.17 [4.12-6.25]
Bahrain,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,4.26 [3.39-5.15]
Bangladesh,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,13.19 [10.99-14.89]
