Country,Disease,Indicator,Year,Gender,Value
Afghanistan,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,15.75 [13.48-18.04]
Afghanistan,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,14.02 [11.94-16.23]
Afghanistan,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,17.6 [15.08-20.16]
Afghanistan,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,45.1 [38.59-51.65]
Afghanistan,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,43.52 [37.07-50.4]
Afghanistan,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,46.71 [40.01-53.5]
Albania,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,30.83 [18-47.78]
Albania,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,30.84 [18.51-47.34]
Albania,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,30.83 [17.72-48.24]
Albania,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,19.63 [11.46-30.43]
Albania,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,21.37 [12.83-32.8]
Albania,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,18.06 [10.38-28.27]
Algeria,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,6.6 [4.5-11.68]
Algeria,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,6.52 [4.55-11.23]
Algeria,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,6.69 [4.47-12.13]
Algeria,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,8.35 [5.69-14.78]
Algeria,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,8.61 [6.01-14.82]
Algeria,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,8.11 [5.43-14.72]
Angola,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,7.61 [6.28-9.04]
Angola,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,6.44 [5.34-7.61]
Angola,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,8.73 [7.18-10.37]
Angola,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,23.13 [19.08-27.5]
Angola,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,20.74 [17.19-24.51]
Angola,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,24.86 [20.45-29.53]
Antigua and Barbuda,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,6.26 [4.49-8.97]
Antigua and Barbuda,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,5.53 [4-7.74]
Antigua and Barbuda,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,6.93 [4.84-10.09]
Antigua and Barbuda,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,6.5 [4.66-9.31]
Antigua and Barbuda,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,6.7 [4.84-9.38]
Antigua and Barbuda,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,6.41 [4.48-9.34]
Argentina,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,4.55 [3.02-7.7]
Argentina,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,4.68 [3.26-7.13]
Argentina,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,4.43 [2.66-8.27]
Argentina,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,3.42 [2.27-5.79]
Argentina,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,4.34 [3.02-6.63]
Argentina,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,2.73 [1.64-5.1]
Armenia,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,10.12 [7.09-14.8]
Armenia,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,10.02 [7.47-13.64]
Armenia,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,10.21 [6.66-15.95]
Armenia,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,6.98 [4.89-10.22]
Armenia,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,8.35 [6.22-11.36]
Armenia,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,5.93 [3.87-9.26]
Australia,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,2.85 [1.08-7.8]
Australia,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,2.32 [1.04-5.74]
Australia,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,3.38 [1.1-9.81]
Australia,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,1.32 [0.5-3.61]
Australia,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,1.26 [0.57-3.13]
Australia,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,1.34 [0.44-3.9]
Austria,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,4.64 [2.19-10.02]
Austria,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,3.87 [2.14-7.55]
Austria,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,5.38 [2.26-12.47]
