Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Afghanistan,AFG,48.88,48.021,38.75,37.69,36.67,35.706,34.809,33.981,33.211,32.487,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Albania,ALB,24.867,16.436,12.1,12.197,12.257,12.259,12.197,12.08,11.934,11.78,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Algeria,DZA,32.13,19.554,24.934,25.246,25.451,25.538,25.481,25.25,24.846,24.282,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,American Samoa,ASM,..,..,..,..,..,17.5,..,..,16.6,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Andorra,AND,11.9,11.3,..,9.5,..,..,..,8.8,..,7.2,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Angola,AGO,50.383,48.15,45.102,44.493,43.847,43.182,42.52,41.882,41.281,40.729,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Antigua and Barbuda,ATG,18.659,19.84,16.396,16.272,16.152,16.026,15.883,15.717,15.53,15.327,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Argentina,ARG,22.226,19.499,18.055,17.949,17.831,17.698,17.548,17.383,17.205,17.021,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Armenia,ARM,21.768,12.91,15.297,15.232,15.125,14.979,14.795,14.568,14.298,13.987,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Aruba,ABW,19.571,14.173,11.123,11.09,11.111,11.179,11.281,11.404,11.532,11.652,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Australia,AUS,15.4,13,13.6,13.7,13.3,13.2,12.9,12.9,12.6,12.6,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Austria,AUT,11.8,9.8,9.3,9.4,9.4,9.6,9.8,10,10,9.7,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Azerbaijan,AZE,25.9,14.5,19.2,18.8,18.3,17.9,17.2,16.3,14.6,14,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Bahamas, The",BHS,23.892,17.609,14.855,14.659,14.485,14.34,14.224,14.131,14.049,13.968,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bahrain,BHR,29.217,21.722,16.271,16.005,15.727,15.426,15.096,14.738,14.365,13.99,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bangladesh,BGD,35.099,27.493,20.657,20.245,19.862,19.501,19.156,18.824,18.501,18.184,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Barbados,BRB,15.988,13.934,11.489,11.259,11.067,10.916,10.806,10.732,10.683,10.648,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belarus,BLR,14,9.4,11.5,12.2,12.5,12.5,12.5,12.4,10.8,9.9,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belgium,BEL,12.4,11.4,11.7,11.5,11.3,11.2,10.8,10.8,10.5,10.3,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belize,BLZ,35.862,29.868,23.044,22.717,22.395,22.067,21.733,21.4,21.081,20.786,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Benin,BEN,46.029,42.371,38.945,38.591,38.219,37.831,37.432,37.027,36.621,36.221,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bermuda,BMU,14.6,13.5,10.4,10,10.4,10.5,9.4,9.6,9.3,8.2,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bhutan,BTN,38.163,27.066,18.913,18.514,18.201,17.965,17.783,17.625,17.459,17.259,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bolivia,BOL,35.336,30.314,24.548,24.1,23.661,23.233,22.821,22.433,22.076,21.75,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bosnia and Herzegovina,BIH,14.844,10.983,9.188,9.087,8.963,8.818,8.655,8.477,8.293,8.111,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Botswana,BWA,34.932,29.302,27.754,27.524,27.231,26.87,26.44,25.943,25.396,24.821,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brazil,BRA,24.844,20.119,15.11,14.93,14.772,14.624,14.472,14.307,14.125,13.924,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brunei Darussalam,BRN,29.401,22.679,17.294,17.221,17.052,16.765,16.365,15.882,15.376,14.896,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bulgaria,BGR,12.1,9,9.6,9.5,9.2,9.4,9.2,9.1,9,8.9,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burkina Faso,BFA,47.417,46.253,41.721,41.127,40.543,39.979,39.437,38.92,38.419,37.93,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burundi,BDI,49.866,42.993,42.682,42.35,41.933,41.44,40.883,40.278,39.646,39.008,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cabo Verde,CPV,40.828,27.608,22.084,21.792,21.477,21.132,20.754,20.345,19.919,19.49,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cambodia,KHM,42.358,28.058,25.166,24.797,24.422,24.048,23.674,23.291,22.889,22.464,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cameroon,CMR,44.824,41.419,38.992,38.522,38.02,37.497,36.964,36.429,35.9,35.386,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Canada,CAN,15,10.7,11,11,10.8,10.8,10.7,10.6,10.3,10.1,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cayman Islands,CYM,18.6085371411211,15.3980099502488,14.4726963537851,13.6305323925593,12.5357847756895,12.4752162546278,10.9899414095574,10.7612789616996,9.9025588211994,9.9,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Central African Republic,CAF,42.004,41.347,38.431,37.933,37.427,36.927,36.454,36.029,35.66,35.348,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chad,TCD,50.992,50.941,46.01,45.42,44.841,44.276,43.73,43.201,42.683,42.172,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Channel Islands,CHI,12.562,11.991,10.657,10.557,10.438,10.306,10.17,10.044,9.939,9.861,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chile,CHL,22.286,16.556,14.463,14.258,14.002,13.7,13.369,13.031,12.711,12.428,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,China,CHN,21.06,14.03,11.93,12.1,12.08,12.37,12.07,12.95,12.43,10.9,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Colombia,COL,27.136,22.256,16.458,16.186,15.945,15.725,15.515,15.308,15.098,14.882,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Comoros,COM,42.558,37.497,34.915,34.578,34.199,33.781,33.328,32.852,32.365,31.881,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Dem. Rep.",COD,46.082,45.965,44.549,44.186,43.771,43.309,42.808,42.278,41.732,41.183,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Rep.",COG,37.997,38.554,36.684,36.198,35.663,35.094,34.511,33.933,33.378,32.862,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Costa Rica,CRI,27.394,19.335,15.554,15.381,15.194,14.989,14.762,14.512,14.246,13.971,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cote d'Ivoire,CIV,43.224,41.069,37.18,36.991,36.812,36.63,36.438,36.225,35.993,35.74,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Croatia,HRV,11.6,9.8,9.6,9.8,9.4,9.3,8.9,9,8.9,9,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cuba,CUB,16.487,13.069,11.179,11.168,11.108,10.992,10.822,10.611,10.386,10.166,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Curacao,CUW,..,..,13.1,13.4,12.7,12.6,11.9,11.2,9.7,10.8,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cyprus,CYP,19.049,13.2,11.441,11.353,11.255,11.143,11.011,10.852,10.668,10.462,..,..
