Series Name,"Country Name","Time","Value"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","1990",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","1991",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","1992",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","1993",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","1994",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","1995",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","1996",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","1997",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","1998",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","1999",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2000",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2001",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2002",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2003",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2004",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2005",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2006",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2007",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2008",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2009",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2010",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2011",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2012",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2013",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2014",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2015",".."
