Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Battle-related deaths (number of people),VC.BTL.DETH,Afghanistan,AFG,1478,5235,7403,7720,8056,12284,17273,17978,19014,25676,29940,..
Battle-related deaths (number of people),VC.BTL.DETH,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Algeria,DZA,..,932,267,256,147,107,110,86,60,33,..,..
Battle-related deaths (number of people),VC.BTL.DETH,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Angola,AGO,2558,943,..,..,..,..,..,25,25,..,25,..
Battle-related deaths (number of people),VC.BTL.DETH,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Armenia,ARM,..,..,..,9,..,..,9,4,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Australia,AUS,..,..,..,..,..,..,..,..,..,1,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Azerbaijan,AZE,..,..,..,16,..,46,63,137,36,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bangladesh,BGD,45,..,..,..,..,..,..,41,47,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Belgium,BEL,..,..,..,..,..,..,..,2,..,3,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,79,344,..
Battle-related deaths (number of people),VC.BTL.DETH,Burundi,BDI,..,1348,..,..,..,49,133,..,..,..,15,..
Battle-related deaths (number of people),VC.BTL.DETH,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cambodia,KHM,274,..,10,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cameroon,CMR,..,..,..,..,..,969,924,181,98,749,693,..
Battle-related deaths (number of people),VC.BTL.DETH,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Central African Republic,CAF,..,..,48,45,415,17,..,..,..,47,48,..
Battle-related deaths (number of people),VC.BTL.DETH,Chad,TCD,652,989,..,..,..,..,275,..,57,150,184,..
Battle-related deaths (number of people),VC.BTL.DETH,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,China,CHN,..,..,..,..,..,..,5,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Colombia,COL,501,1023,202,211,140,119,134,30,..,142,122,..
Battle-related deaths (number of people),VC.BTL.DETH,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Congo, Dem. Rep.",COD,..,1473,283,773,1531,985,197,755,3630,819,735,..
Battle-related deaths (number of people),VC.BTL.DETH,"Congo, Rep.",COG,..,..,..,..,..,..,..,51,..,..,0,..
Battle-related deaths (number of people),VC.BTL.DETH,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cote d'Ivoire,CIV,8,..,98,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Djibouti,DJI,60,..,..,..,..,..,..,..,..,..,..,..
