Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Afghanistan,AFG,..,8.17558808319085,..,..,..,..,16.3899646832828,..,..,..,17.2884637273119,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Albania,ALB,..,7.74830028075972,..,..,..,..,4.12681470034922,..,..,..,3.03599641131377,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Algeria,DZA,..,12.32792359011,..,..,..,..,8.26364202949081,..,..,..,7.66004004219541,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Angola,AGO,..,6.95205337204632,..,..,..,..,8.48617579247668,..,..,..,9.08828741319193,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Antigua and Barbuda,ATG,..,6.64653907896991,..,..,..,..,5.2088948949001,..,..,..,5.37279775035651,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Argentina,ARG,..,6.9925261170518,..,..,..,..,6.21245052686423,..,..,..,5.70904330858032,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Armenia,ARM,..,5.73461875257113,..,..,..,..,4.41768970251022,..,..,..,4.67775117531801,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Australia,AUS,..,5.86113345690273,..,..,..,..,5.85702495846548,..,..,..,5.94459221316378,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Austria,AUT,..,5.67049588455268,..,..,..,..,5.37756284546725,..,..,..,5.44531462854727,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Azerbaijan,AZE,..,5.18282225580827,..,..,..,..,4.37324129505155,..,..,..,3.7636405524941,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,"Bahamas, The",BHS,..,10.7708854030443,..,..,..,..,12.4535254221082,..,..,..,13.8557689084434,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bahrain,BHR,..,11.9199306915944,..,..,..,..,9.96066556020824,..,..,..,8.89231702659159,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bangladesh,BGD,..,6.64088937832296,..,..,..,..,7.48848529773928,..,..,..,7.13149266345035,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Barbados,BRB,..,3.42378372665619,..,..,..,..,4.8417071329335,..,..,..,4.30922726355312,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Belarus,BLR,..,10.2860243755909,..,..,..,..,6.40337946850778,..,..,..,5.71450571457612,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Belgium,BEL,..,6.49793097155456,..,..,..,..,6.20055951618006,..,..,..,6.12096377150522,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Belize,BLZ,..,18.3727360228888,..,..,..,..,18.8572010861558,..,..,..,18.8455291613112,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Benin,BEN,..,7.22864189862323,..,..,..,..,8.99444025754243,..,..,..,9.19147102400214,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bhutan,BTN,..,12.2021214873378,..,..,..,..,9.08778513709315,..,..,..,9.04574466073515,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bolivia,BOL,..,8.53087533484945,..,..,..,..,8.87878422709081,..,..,..,8.7017791007376,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bosnia and Herzegovina,BIH,..,6.26656324317548,..,..,..,..,4.19807008705015,..,..,..,3.76658780271476,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Botswana,BWA,..,7.42785449893448,..,..,..,..,9.53531999981647,..,..,..,9.38521814911902,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Brazil,BRA,..,12.850995446974,..,..,..,..,12.4539423731105,..,..,..,11.5536597805284,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Brunei Darussalam,BRN,..,10.3720604652321,..,..,..,..,5.81397008604119,..,..,..,4.98998923708015,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bulgaria,BGR,..,3.93880966071457,..,..,..,..,2.70872028201864,..,..,..,2.47491821960442,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Burkina Faso,BFA,..,5.73057900507668,..,..,..,..,9.92548775907268,..,..,..,11.1299696099475,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Burundi,BDI,..,17.2907324764855,..,..,..,..,11.9250345568974,..,..,..,12.0613038251609,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Cabo Verde,CPV,..,12.8719422272341,..,..,..,..,16.1055877022009,..,..,..,14.0503672882585,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Cambodia,KHM,..,8.12818911679723,..,..,..,..,9.09181769469773,..,..,..,9.24472413666233,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Cameroon,CMR,..,6.73070472905245,..,..,..,..,9.62901695811478,..,..,..,10.4575175768539,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Canada,CAN,..,5.68094525929589,..,..,..,..,5.77819938098487,..,..,..,5.41911458940873,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Central African Republic,CAF,..,6.1503118236315,..,..,..,..,9.06562121961068,..,..,..,9.02071399710817,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Chad,TCD,..,6.97923518190099,..,..,..,..,8.7275506788525,..,..,..,9.56702741121068,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Chile,CHL,..,10.0777997836364,..,..,..,..,7.80545651380818,..,..,..,7.76325777813412,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,China,CHN,..,9.50514782134964,..,..,..,..,7.52589476453976,..,..,..,6.81721294175657,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Colombia,COL,..,27.7949789833847,..,..,..,..,16.2213304413647,..,..,..,14.0145081478681,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Comoros,COM,..,9.04588890150833,..,..,..,..,10.7729774645326,..,..,..,11.2467830416715,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,"Congo, Dem. Rep.",COD,..,6.64006382291685,..,..,..,..,8.7712703210264,..,..,..,9.68515364034957,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,"Congo, Rep.",COG,..,7.82536603698984,..,..,..,..,8.52489603345905,..,..,..,9.45927513175737,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Costa Rica,CRI,..,12.1419158792699,..,..,..,..,11.596610408711,..,..,..,10.8785114228484,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Cote d'Ivoire,CIV,..,6.48466427969084,..,..,..,..,9.14746068854232,..,..,..,10.0346807490684,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Croatia,HRV,..,5.86654999264382,..,..,..,..,5.19948394476106,..,..,..,5.06513555428123,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Cuba,CUB,..,9.91827976362931,..,..,..,..,7.89808301098523,..,..,..,7.47764328278062,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Cyprus,CYP,..,6.37649211514778,..,..,..,..,4.81592639526197,..,..,..,5.3466254345444,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Czech Republic,CZE,..,6.56204781263384,..,..,..,..,4.98468926732941,..,..,..,4.77548092277927,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Denmark,DNK,..,5.62112840847003,..,..,..,..,3.49101268373796,..,..,..,3.51602038320691,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Djibouti,DJI,..,8.26809758851749,..,..,..,..,9.27471259063528,..,..,..,10.8115460993377,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Dominican Republic,DOM,..,13.6012418836122,..,..,..,..,11.8261360981609,..,..,..,15.48988619393,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Ecuador,ECU,..,14.4896322185687,..,..,..,..,12.7684668395987,..,..,..,11.4597060711425,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,"Egypt, Arab Rep.",EGY,..,5.01745373444748,..,..,..,..,4.98902704069397,..,..,..,4.76370850328626,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,El Salvador,SLV,..,22.8483230859312,..,..,..,..,19.6990107417261,..,..,..,19.0934834826794,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Equatorial Guinea,GNQ,..,5.84577856703906,..,..,..,..,7.27974546437007,..,..,..,7.70971711464802,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Eritrea,ERI,..,11.9864237947516,..,..,..,..,11.2130717577164,..,..,..,11.8773072432547,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Estonia,EST,..,9.59249208996824,..,..,..,..,4.38723093058245,..,..,..,4.22251355239039,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Eswatini,SWZ,..,8.66465262743994,..,..,..,..,11.4415933165653,..,..,..,12.0582584827889,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Ethiopia,ETH,..,10.8509455647559,..,..,..,..,10.7687488081452,..,..,..,12.086981875164,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Fiji,FJI,..,7.23771534193118,..,..,..,..,6.06215366894348,..,..,..,5.94428024132822,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Finland,FIN,..,7.36966582215134,..,..,..,..,5.46862261435763,..,..,..,5.6430073668987,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,France,FRA,..,7.94080440651951,..,..,..,..,6.59523492090918,..,..,..,6.35586909299778,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Gabon,GAB,..,6.30195422202678,..,..,..,..,8.55188304646908,..,..,..,8.72346871611595,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,"Gambia, The",GMB,..,8.573890961549,..,..,..,..,10.2174254207636,..,..,..,10.730154367917,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Georgia,GEO,..,4.09380421471486,..,..,..,..,4.50710591601015,..,..,..,3.9013560135276,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Germany,DEU,..,4.11736037223247,..,..,..,..,3.94692920225668,..,..,..,4.64167927814672,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Ghana,GHA,..,6.60852053019236,..,..,..,..,8.97431062156061,..,..,..,9.37566706581807,..
