Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Afghanistan,AFG,..,..,519.423260833671,559.830458342982,553.542173792198,532.28021799778,504.603289036582,478.192113579823,488.07598606307,458.370737755325,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Albania,ALB,484.15905528464,1040.51727898331,3666.62981805397,3455.04248179848,3673.64151978272,3774.66396693331,3234.69730477441,3415.93460393608,3672.83679440938,4201.07708408373,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Algeria,DZA,1868.87700271068,1284.50041031476,3959.59138589012,4054.12873940917,4040.92151393564,4105.62342468944,3283.16455694694,3272.98698932385,3248.46585564748,3098.85173284358,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Angola,AGO,447.585119679198,11.1282785920104,1500.17472480036,1773.97053262774,2043.22467080456,2397.7613832763,2078.3009169658,1694.11782828465,1756.09804061044,1028.56471859024,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Argentina,ARG,3757.96790329315,6606.31520600317,10956.7621688311,11131.9804404501,11123.5274609967,10433.9931760856,11821.449966941,10892.4992690698,12344.2841325065,9631.76369093399,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Armenia,ARM,..,541.802341139579,3138.8685238342,3278.37914975329,3509.29072037805,3581.15337055826,3175.9669009362,3084.89532674006,3400.46427365024,3533.88353144239,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Aruba,ABW,10975.4753433421,18248.9363864554,19981.5433372712,21057.6721165113,21905.6508112196,22913.2712161745,23917.7967109349,24086.2794024895,24399.6932501472,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Australia,AUS,14129.7862358023,17053.4533814571,47825.9928917426,52858.3755460261,53239.1730612723,48104.1829595054,44138.5367126408,38730.3859643681,41849.2249877152,43345.8711026031,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Austria,AUT,18412.9197655922,20343.6561203471,42579.3791848538,39994.1723625596,41696.6578604414,42429.8348390611,35813.1011185463,37144.0880766,38586.6923030608,42094.9970111155,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Azerbaijan,AZE,..,361.554368004865,4641.90033639661,5146.88047152547,5696.9169527648,5987.52654372525,4423.66342371374,2996.27025136683,3168.80915680002,3298.41073543451,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Bahamas, The",BHS,11005.3936910287,24870.7898424612,25501.2309756884,27292.0347075592,26718.3386108955,26132.9080357416,26376.4174788356,26074.6595626548,25767.1692483531,24321.4953367811,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bahrain,BHR,7420.53224504758,11424.1119449789,16790.9207746324,19925.2320605068,20612.5166343294,20609.7919257618,19047.8977475547,19365.2605546626,20219.7382473879,20094.2843705576,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bangladesh,BGD,287.017611754505,396.836431906354,844.162490244884,870.076392059882,965.553400265294,1085.05183789539,1210.47326863123,1352.69481266156,1487.30389666951,1618.95996227485,..,..
